Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
[2022-04-28 19:57:57 ()],66,592.6482936784682,74.70395736353062,0.36,3,1
[2022-04-28 19:58:02 ()],67,4772.682264722846,112.06722891949994,0.41,3,3
[2022-04-28 19:58:09 ()],68,1539.7454335051623,82.98070892096779,0.335,3,2
[2022-04-28 19:58:15 ()],69,1221.8805178903542,89.48103034140883,0.375,3,2
[2022-04-28 19:58:22 ()],70,929.51600308978,82.813452796143,0.34,3,2
[2022-04-28 19:58:28 ()],71,838.1312546373629,69.45892869842943,0.28,3,2
[2022-04-28 19:58:35 ()],72,2000.0,95.70569335853901,0.34,3,2
[2022-04-28 19:58:42 ()],73,1651.0263474578471,77.12631616659046,0.32,3,2
[2022-04-28 19:58:48 ()],74,3219.937887599697,135.15549245296555,0.4,3,3
[2022-04-28 19:58:56 ()],75,1221.8805178903542,93.84251016325406,0.375,3,2
[2022-04-28 19:59:03 ()],76,1764.8660005790807,94.23537147130062,0.34,3,2
[2022-04-28 19:59:09 ()],77,838.1312546373629,79.42626280281047,0.325,3,2
[2022-04-28 19:59:16 ()],78,2000.0,108.23598326005589,0.425,3,2
[2022-04-28 19:59:22 ()],79,1651.0263474578471,117.28357106518037,0.39,3,2
[2022-04-28 19:59:30 ()],80,1539.7454335051623,84.50678534720775,0.335,3,2
[2022-04-28 19:59:37 ()],81,4047.7154050155254,123.57597917055082,0.39,3,2
[2022-04-28 19:59:44 ()],82,2244.737846609265,96.03832870649231,0.325,3,3
[2022-04-28 19:59:53 ()],83,3172.0378307958435,130.98767141271472,0.365,3,2
[2022-04-28 20:00:01 ()],84,1050.1123749389872,131.48757139086158,0.395,3,2
[2022-04-28 20:00:09 ()],85,5999.637322372078,147.13093055401862,0.39,3,2
[2022-04-28 20:00:17 ()],86,793.0094576989609,101.27507605386798,0.385,3,2
[2022-04-28 20:00:25 ()],87,2629.0682760247973,117.23931973877217,0.32,3,3
[2022-04-28 20:00:33 ()],88,1651.0263474578471,101.7095812616875,0.305,3,2
[2022-04-28 20:00:41 ()],89,4047.7154050155254,134.32813926512787,0.395,3,2
[2022-04-28 20:00:49 ()],90,2896.309375740099,148.56133113280066,0.435,3,2
[2022-04-28 20:00:58 ()],91,1651.0263474578471,139.48745214155642,0.38,3,2
[2022-04-28 20:01:06 ()],92,2761.6111239636907,175.07976010744838,0.47,3,2
[2022-04-28 20:01:15 ()],93,7776.0,160.25258769539087,0.345,3,3
[2022-04-28 20:01:24 ()],94,6516.696095415223,205.59207873231242,0.445,3,3
[2022-04-28 20:01:34 ()],95,4355.0577493300825,185.95747151876319,0.475,3,2
[2022-04-28 20:01:43 ()],96,8102.239690357228,226.93519372621384,0.46,3,3
[2022-04-28 20:01:53 ()],97,12727.922061357856,255.73176222572056,0.49,3,3
[2022-04-28 20:02:03 ()],98,8432.91835606156,204.92744451729246,0.41,3,3
[2022-04-28 20:02:12 ()],99,4047.7154050155254,217.12315257697887,0.485,3,2
[2022-04-28 20:02:22 ()],100,2629.0682760247973,198.32202827105976,0.49,3,2
[2022-04-28 20:02:32 ()],101,5050.660154870846,216.23168097009471,0.5,3,3
[2022-04-28 20:02:41 ()],102,13824.0,281.41214038195085,0.56,4,4
[2022-04-28 20:02:50 ()],103,3456.0,223.65045475718878,0.57,4,3
